id,title,work_type,industry
118404,Vegetable Prep Commie III,,
118403,Digital Engagement Assistant,,
118402,MS SQL DBA Officer,,
118401,Product Marketer,,
118400,Wealth Manager,,
118399,Mining Geologist,,
118398,Hospital Business Manager,,
118397,Driver,,
118396,Branch Managers and Loan Officers,,
118395,Customer Service Intern,,
118394,GPON Telecom Supervisor,,
118393,Database Administrator,,
118392,Pharmacist,,
118391,Director of Business Development,,
118390,"Brand, Content and Creative Design Lead",,
118389,Intervention Officer,,
118388,Methods Engineer - C & P Tools & Support,,
118387,Unit Head - Cocoa,,
118386,Junior Business Analyst,,
118385,Graphic and Photography/Success Story Harvesting Officer,,
118384,Human Resources Intern,,
118383,Marketer,,
118382,Executive Assistant - Legal Officer,,
118381,Early Years Teachers,,
118380,"Risk Management, Methods & Insurance Officer",,
118379,Mechanical Engineers,,
118378,Director of Business Development,,
118377,UI / UX Designer,,
118376,Cashier - Bayelsa,,
118375,Business Development Manager,,
118374,Claims Officer,,
118373,Biomedical Engineer,,
118372,Technical Pre-Sales Executive - Abuja,,
118371,"Head, Compliance & Governance",,
118370,"Senior Engineer, Telemetry",,
118369,Project Officer,,
118368,Senior ESG Consultant,,
118367,Warehouse & Logistics Manager,,
118366,Marketing Specialist,,
118365,Strategic Site Solutions Manager - East Africa and West Africa,,
118364,Labor Relations Sr Manager,,
118363,Unit Productivity Manager,,
118362,Enterprise Sales Specialist,,
118361,Nigeria Research and Evaluation Lead,,
118360,"Community Manager, Executive Channels",,
118359,"Field Verification Officer (Oron, Akwa-Ibom State)",,
118358,Software Engineering Course Instructor,,
118357,Multimedia Designer,,
118356,Design Manager,,
118355,Structural Engineering Graduate (Pre-Sales Engineer),,
118354,Head of Business Development,,
118353,Senior Intern,,
118352,Chief Financial Officer,,
118351,Production Assistant,,
118350,ERD Livelihoods Officer,,
118349,Group Strategy and Risk Manager,,
118348,Field Agent,,
118347,Discipline Engineer - Mechanical,,
118346,Laravel Developer,,
118345,"Assistant, Marketing, IAM",,
118344,Data and Analytics Manager,,
118343,"Partnerships Director, Bayelsa",,
118342,Drivers,,
118341,"Head, Techlog Purchasing",,
118340,Access Control Officer,,
118339,Shift Chemist,,
118338,Finance Manager (Digital Health Care),,
118337,Program Coordinator (Digital Health Care),,
118336,Assistant Restaurant Manager,,
118335,Senior Investment Analyst,,
118334,"SVP, Internal Audit",,
118333,Software Developer,,
118332,Sales Manager,,
118331,Strategy Manager - Credit,,
118330,Business Development Strategist,,
118329,Company Secretary/Legal Adviser,,
118328,Monitoring & Evaluation Officer (Kebbi State),,
118327,Social Behaviour Change and Communication Officer (Kebbi State),,
118326,Social & Behaviour Change Technical Advisor,,
118325,Marketer,,
118324,Office Assistant,,
118323,Medical Lab Scientist,,
118322,SC Material Expeditor,,
118321,Baker,,
118320,Medical Officer (Doctor),,
118319,Executive Assistant,,
118318,Human Resources/Legal Officer,,
118317,Senior Sales Executive – Generator,,
118316,Education Officer,,
118315,Senior DevOps Engineer,,
118314,Commercial Broiler Production Supervisor,,
118313,Legal Manager,,
118312,HR Assistant,,
118311,Technical Services Manager (Electrical),,
118310,Sales and Business Development Executive,,
118309,Driver Welfare Analyst,,
118308,Lubrication Foreman,,
118307,Business Development Manager (Sales),,
118306,Internal Auditor,,
118305,HD Lace Ventilator,,
118304,Senior Physiotherapist,,
118303,Sr Account Manager,,
118302,Personal Assistant (NYSC),,
118301,Executive Assistant,,
118300,Finance Coordinator,,
118299,Regional Finance Controller,,
118298,Business Development Executive,,
118297,Finance and Admin. Assistant,,
118296,Consulting – AWS Cloud Solutions Architect,,
118295,Junior Finance Manager,,
118294,Business Development Manager,,
118293,Operator Asst I-Coiled Tubing,,
118292,"Senior Associate, Risk & Compliance Reporting",,
118291,Product Manager,,
118290,Field Sales Specialists - Kano,,
118289,IMS Supervisor,,
118288,"Stock Management Associate, South South",,
118287,Technical Superintendent,,
118286,Finance Manager,,
118285,"Data Analytics Officer, People",,
118284,Team Lead Manager,,
118283,General Manager,,
118282,Senior Sales Executive,,
118281,Data Analyst,,
118280,Front Desk Officer,,
118279,Sales Associate,,
118278,Senior Operations Specialist,,
118277,Service Delivery Officer - iCCM,,
118276,Protection Coordinator,,
118275,Business Analyst,,
118274,Direct Sales Executive,,
118273,Accountant (ISP Company),,
118272,Head Electrical Engineer,,
118271,Legal Attorney I,,
118270,Sales/Drilling Engineer,,
118269,Senior Credit Analyst,,
118268,Senior Guard - Cement Industry,,
118267,Inventory Controller - Sagamu,,
118266,Communications Officer - Katsina,,
118265,Customer Service Representative,,
118264,Financial Accountant,,
118263,Consultant Radiologist,,
118262,Body Waxing Specialist,,
118261,Graphic Designer,,
118260,Social Media Manager,,
118259,Security Manager (Logistics),,
118258,Assistant project Manager,,
118257,Access Control Officer,,
118256,Facility Officer / Electrician,,
118255,Field Verification Officer,,
118254,project Manager,,
118253,Senior Investment Analyst,,
118252,Business Development Supervisor,,
118251,Reporter,,
118250,Warehouse Assistant (Food Store),,
118249,Centre for Disaster Protection - Lead Risk Finance Advisor,,
118248,Senior Marketing Officer,,
118247,Site HSE Engineer,,
118246,Sales Development Representative,,
118245,Finance and Administrative Officer,,
118244,Executive Assitant,,
118243,Fire and Gas Engineer,,
118242,General Manager,,
118241,Electrical Instrumentation Instructor,,
118240,"Stock Management Associate, South South",,
118239,iOS Developer (Objective-C),,
118238,Methods Engineer (C&p Tools & Support),,
118237,Cashier,,
118236,Secretary,,
118235,IT / Operations Assistant,,
118234,production Auditor,,
118233,Technical Manager,,
118232,Brand Manager (Energy Drink),,
118231,Sales Manager,,
118230,Security Personnel,,
118229,Fleet Manager,,
118228,Assistant Inventory Officer,,
118227,Branch Managerand Loan Officer,,
118226,Warehouse Attendant,,
118225,Account Officer (NYSC Intern),,
118224,Graduate Sales Trainee Program,,
118223,"Director, Finance and Operations",,
118222,Customer Experience Associate,,
118221,Senior Intern,,
118220,Sales Manager,,
118219,Web Content Officer,,
118218,Operations and Logistics Supervisor,,
118217,Sales Personnel,,
118216,Pharmacy technician,,
118215,Youtube Content Creator and Digital Marketing Specialist,,
118214,"Manager, Cost Controller",,
118213,Cleaner,,
118212,Accountant,,
118211,Design Manager,,
118210,Medical Representative,,
118209,,,
118208,Factory Electrical Engineer,,
118207,Account Manager,,
118206,Dentist,,
118205,Executive Assistant,,
118204,Medical Officer (Doctor),,
118203,Senior DevOps Engineer,,
118202,Software and Machine Learning Engineer,,
118201,HR / Admin Manager,,
118200,Technical Account Manager,,
118199,Production Auditor,,
118198,Talent Scientist,,
118197,Admin Manager (Operations),,
118196,Front Office Manager,,
118195,Program Coordinator (Digital Health Care),,
118194,High Profile Sales Agent,,
118193,Creative Videographer,,
118192,Security and Conflict Analyst,,
118191,Cashier / Sales Assistant,,
118190,Graphic Designer (with printing press experience),,
118189,presenter (Remote),,
118188,Finance Advisor SAP FICO,,
118187,Outdoor & Indoor Sales Representative,,
118186,Social Media Manager / Digital Marketing Strategist,,
118185,Accountant,,
118184,Graduate Trainee (Sales),,
118183,Restaurant Manager,,
118182,Account Executive,,
118181,Structural Engineer,,
118180,Telesales Intern,,
118179,Senior Software Engineer (Ubuntu Systems Management),,
118178,Internal Control Analyst,,
118177,Senior UI/UX Designer,,
118176,Ad Operations Specialist,,
118175,Marketing & Communications Intern,,
118174,Cashier,,
118170,State Program Officer (Kebbi State),,
118169,Finance and Administrative Officer,,
118161,Panel Beater,,
118147,Panel Beater,,
118146,Civic Education teacher,,
118145,Diction teacher,,
118144,Cutting Machine Operator,,
118143,Solicitors Associate,,
118142,Chemistry teacher,,
118141,Sales Officer,,
118140,Hotel Cook,,
118137,Further Mathematics teacher,,
118135,Hotel Chef,,
118127,Factory Electrical Engineer,,
118121,Events and Partnership Lead,,
118120,Asst. Site Supervisor,,
118119,Consultant - Revision of the National DMPA-SC/SI Training Guides,,
118113,Business Development Manager,,
118112,Sales Lead,,
118108,Area Sales Managers (Foods Category),,
118104,Mechanical Maintenance Officer,,
118102,Head of Growth and Partnerships,,
118100,Audley / Personal Assistant,,
118097,Product Sales Associate,,
118095,Collection and Recovery Captain,,
118094,Sales Representatives,,
118093,HR/Admin Manager,,
118091,Sales Representative / Marketer,,
118090,Executive Assistant,,
118089,Account Manager,,
118088,Music Teacher,,
118085,Sales Representative,,
118084,Sales and Marketing Manager,,
118081,Cleaner / Office Assistant,,
118069,House Parent (Male and Female),,
118068,School Counsellor,,
118067,Home Economics and F&N teacher,,
118066,Accountant,,
118064,Content Creator,,
118063,Nursing Manager,,
118060,Area Sales Manager (Foods Category),,
118059,Entertainment and Lifestyle Editor,,
118056,Business Studies teacher,,
118054,Mechanical Engineer,,
118053,Economics teacher,,
118052,Assistant technician,,
118049,Sales Manager,,
118048,"Sports Content Creator, Blogger, and Social Media Manager",,
118047,Maintenance Manager,,
118045,Operations Manager,,
118044,Spa therapist,,
118043,Senior Child Protection technical Advisor,,
118034,Assistant Business Development Manager,,
118032,Sales Manager,,
118029,Backend & Frontend Engineering,,
118028,HR/Admin Officer - Damboa,,
118026,HR/Admin Officer - Katsina,,
118023,Program Manager(INnvestment Immigration),,
118021,Graduate Trainee (Sales),,
118020,Personal Assistant to CEO,,
118018,Senior Flutter Developer,,
118011,Local Security Associate (LSA) Monguno and Gwoza UNDSS,,
118010,Finance Officer,,
118007,Marketing & Communications Intern - Lagos,,
118005,Full Stack Developer,,
118003,Methods Engineer – C&P Tools & Support,,
117999,IT Assistant,,
117998,Shop Floor Assistants,,
117997,LPG Plant Supervisor - Ekpoma,,
117992,Senior Flutter Developer,,
117988,"Agent, Banking Field Force",,
117970,Primary teaching Assistant,,
117969,Female Early Years Assistant Educator,,
117968,Female School Administrative Support Officer,,
117966,English teacher (Hand Writing),,
117965,Senior Nuxt.js Developer,,
117964,Bakery Chef de Partie,,
117961,Personal Assistant to the Chief Executive,,
117960,"team Lead, Inhouse Settlement",,
117959,Front Desk Officer,,
117958,Executive Assistant,,
117955,Medical Officer (Doctor),,
117951,"team Lead, Mastercard Settlement",,
117950,CX Measurement and Reporting Manager,,
117948,"team Lead, Visa Settlement",,
117946,Product Manager,,
117945,Methods Engineer - C&P tools & Support Officer,,
117943,HR / Admin Officer,,
117941,Finance Officer,,
117940,Driver,,
117937,Business Development Manager,,
117934,Head of Finance (telecoms),,
117929,Pharmacist,,
117872,"Team Lead, Mastercard Settlement",,
117870,Cook,,
117824,Dentist,,
117713,Admin Officer / Front Desk Officer,,
117712,Digital Marketer / Social Media Officer,,
117708,Account Assistant,,
117705,Business Development Executive,,
117704,Office Assistant,,
117703,Butchery Specialist,,
117697,StEM Ambassador,,
117680,Credit Officer,,
117675,Sales Intern,,
117674,Estate Surveyor / Project Manager,,
117673,Chef de Partie,,
117672,trainee Accountant,,
117655,Collections Officer,,
117645,Lottery Transaction Officer,,
117631,Senior Quantity Surveyor,,
117630,Web Content Officer,,
117618,Vegetable Prep Commie III,,
117614,Sales Development Representative,,
117612,iOS Developer - Objective-C,,
117575,Monitoring and Evaluation Technical Assistant,,
117574,Soya Line Preparatory Operator,,
117570,Field Officer - Oyo & Osun,,
117569,Retail Sales Assistant,,
117563,Project Manager,,
117561,Internal Auditor,,
117557,Professional Driver,,
117555,Driver,,
117550,Key Stage 1 Teachers,,
117548,"Shift in Charge, Electrical Maintenance",,
117545,Nigeria Facilities Specialist,,
117543,Python/Data Science Instructor,,
117542,Information and Communication Technology for Development (ICT4D) Officer,,
117540,Marketing Executive,,
117539,Accountant - Bodija,,
117538,HR / Admin Officer,,
117536,Quality Control (QC) Officer,,
117532,Sales Representative,,
117529,Regional Manager,,
117528,Relationship Manager - EEDC Region,,
117527,HR Associate,,
117524,Lead Instructional Designer,,
117523,Subject Teacher,,
117515,Further MathematicsTeacher,,
117508,Regulatory Affairs Manager,,
117504,Social Media Manager / Content Creator,,
117503,Customer Service Representative,,
117496,SEO Specialist,,
117493,Retail Site Finder,,
117490,Key Stage 1 teacher,,
117489,Pastry Chef,,
117488,Operations Manager,,
117486,Creche Facilitator,,
117485,School Administrator,,
117484,Education Supervisor,,
117483,Diction teacher,,
117482,Music teacher,,
117481,Early Years teacher,,
117480,School Nurse,,
117479,Key Stage 2 teacher,,
117478,Experienced Bread Baker,,
117477,French teacher,,
117476,School Administrator,,
117475,Cashier / Front Desk Officer,,
117474,Experienced Cook,,
117472,Assistant Pastry Chef,,
117471,Customer Service Personnel,,
117470,Sales / Marketing Executive (Corporate Sales),,
117468,Music teacher,,
117467,Demi Chef de Partie,,
117466,Procurement Manager,,
117465,Nursing Officer,,
117463,Business Manager,,
117461,Information and Communication technology for Development (ICt4D) Officer,,
117459,Secretary,,
117457,AWS Cloud Engineer,,
117450,Back Office Construction Projects Coordination Officer,,
117437,Senior Sales Executive - Generator,,
117436,Full Stack Developer (Vue.js + Node.js) Intern,,
117435,Inventory and Store Manager,,
117433,"Country Director - Nigeria, GHSC-PSM",,
117431,Shuttle Van / Trailer / Truck Driver,,
117429,Ophthalmic Practitioner,,
117425,Head of Talent Management - Africa,,
117424,Sales Executive (E-commerce / Key Account),,
117422,Sales Representative,,
117421,Restaurant Consultant (Fine Dining),,
117411,EVAW Policy Expert National Consultant,,
117409,General Manager - Marketing,,
117408,Technical Assistant to the Chief Executive,,
117407,Office Manager,,
117404,Graphics Designer,,
117400,Call Center Nurse,,
117399,Account Clerk,,
117398,Service Fulfilment and Support Engineer,,
117397,Sales Engineer,,
117396,Electrical Engineer,,
117395,Mechanical Engineer,,
117393,Quantity Surveyor,,
117391,Marketing Officer,,
117390,"team Lead, Network Monitoring Centre",,
117389,"Head, Information Systems & technology",,
117388,Business Development Officer,,
117386,Hospital Business Manager,,
117385,Senior Internal Auditor,,
117383,Branch Manager and Loan Officer,,
117382,Security Operative,,
117381,Literacy teacher,,
117374,Operations Manager (Laundry Industry),,
117373,Senior Associate,,
117371,Digital Marketing Copywriter,,
117370,Document Control Analyst,,
117364,"Senior Capital Markets Officer, PIFD2",,
117362,Security Officer / Gateman,,
117361,Head of talent Management - Africa,,
117356,Production Auditor,,
117350,Regulatory Affairs Officer,,
117349,Graphic Designer,,
117348,GPON telecom Supervisor,,
117346,Sales Executive (Realtor),,
117342,Database Administrator,,
117340,Accountability Officer,,
117339,Finance & Admin Supervisor,,
117261,Educator(Coding | Robotics | ICT Teacher),,
117258,Group Financial Manager,,
117257,Chef,,
117256,Business Development/School Enrolment Officer,,
117253,"Climate, Energy and Finance Specialist",,
117119,Mathematics teacher,,
117118,Music teacher,,
117117,Client / Customer Care Representative,,
117109,Chief Executive Officer,,
117105,Corporate Services Manager,,
117097,Science teacher,,
117096,Chef,,
117060,Foreign Exchange Dealer,,
117042,Communication Officer,,
117040,Sports Content Writer,,
117039,Dental Surgeon Assistant/Technician (DSA/DST),,
117029,Operations Manager,,
117028,junior It & tech Support,,
117015,Customer Experience Officer (NYSC),,
117010,Consultant - Organizational Capacity Assessment and Strategy Development,,
117009,Kitchen Manager,,
117003,Electrical Engineer,,
117002,Mechanical Engineering,,
117000,Inventory Assistant (Male),,
116997,Body Waxing Specialist,,
116994,Personal Assistant to the Managing Director,,
116990,Head of Operations,,
116989,Financial Controller,,
116988,Head of ICt,,
116987,Relationship Officer,,
116986,Group Finance Manager,,
116984,Head of School,,
116982,Accountant,,
116981,"Online Mathematics tutor

Location: Gwagwalada, Abuja (FCt)
Employment type: Full-time
job Description


	We are currently seeking adaptable individuals to join our team as Mathematics tutors.
	this position offers the opportunity to assist students of all levels in mastering mathematical concepts and skills.


tasks


	Conduct one-on-one tutoring sessions with students via online platforms, covering a wide range of mathematical topics and levels of difficulty.
	Provide personalized instruction and guidance to meet the individual learning needs of each student, adapting teaching methods to their level of proficiency.
	Assist students in understanding mathematical concepts, solving problems, and developing critical thinking skills.
	Offer support with homework assignments, exam preparation, and developing effective study strategies tailored to each student's level.
	Foster a positive and supportive learning environment that encourages curiosity, confidence, and mathematical exploration at all levels.
	Create quality educational social media content.


Requirements


	Candidates should possess B.Sc Degrees with 5+ years relevant work experience.
	Strong understanding of mathematical concepts and principles across various levels, from basic arithmetic to advanced calculus and beyond.
	Ability to adapt teaching methods to meet the diverse learning styles and needs of students at different proficiency levels.
	Enthusiasm for teaching and a desire to help students succeed in mathematics.
	Excellent communication skills and the ability to explain mathematical concepts clearly and effectively.
	Ability to use Google meet, Zoom, and other platform to teach.

Application Closing Date
30th August, 2024.
How to Apply
Interested and qualified candidates should send their CV to: [email protected] using the job title as the subject of the mail.",,
116970,Content Curator and Social Media Executive,,
116961,Sales Account Manager (Education),,
116959,Back End Engineer,,
116958,UI/UX Designer (NYSC),,
116956,Litigation and Commercial Lawyer,,
116954,Accountant (Import/Export),,
116941,LPG Fillers (Kaduna),,
116940,International Liaison Assistant,,
116936,Cook,,
116932,ICT Officer,,
116899,ICT / Data Processing Teacher,,
116894,IT / Social Media Officer,,
116892,Customer Service Representative (Backend),,
116891,Quality Control/Procurement Officer (Fashion),,
116887,Human Resource (HR) Generalist,,
116885,Plastic Injection Molding Supervisor,,
116884,Tech Sales Associate - PHC,,
116883,English Teacher,,
116858,Sales Executive,,
116856,Pharmacist,,
116855,Hospital Porter,,
116853,Electrical technician,,
116852,Medical Laboratory Scientist,,
116850,Female / Male Nail technician,,
116849,Communication Officer,,
116848,Back End Engineer,,
116847,Quality Assurance Engineer,,
116846,Internal Control & Compliance Manager,,
116845,Front End Engineer,,
116844,Human Capital Manager,,
116842,Relationship Officer,,
116841,English Language and Phonics teacher,,
116840,Accountant (Import/Export),,
116835,Digital Marketing Officer,,
116831,Sales Representative,,
116825,Inventory / Logistic Officer,,
116823,Mathematics Tutor,,
116822,Finance Officer,,
116815,Senior Project Planner / Engineer,,
116813,Social Media Manager,,
116812,treasury Marketing / Sales Officer (Entry-level),,
116811,Inventory Officer,,
116810,Male Digital Marketer,,
116799,Editor,,
116798,Sales Manager,,
116797,Customer Service Officer,,
116794,Digital Marketing Manager,,
116793,Senior Sales Executive,,
116792,Human Resources Manager,,
116791,Quantity Surveyor,,
116789,Female Marketing Officer,,
116788,IT End User Support Personnel - PH,,
116787,Partner Programs & Quality Manager,,
116785,Business Development Officer,,
116783,Sales Executive,,
116781,Shawarma Chef,,
116774,Business Development Manager,,
116771,Content Creator,,
116765,Production Manager,,
116759,Head of Account Management,,
116758,Marketing Communications Business Partner (Marketing Officer),,
116752,Cleaner,,
116749,Account Officer,,
116748,Female Sonographer,,
116746,English teacher,,
116745,Graphics Designer (Restaurant / Lounge),,
116744,International Liaison Assistant,,
116742,Site Project Manager,,
116741,junior Data Analyst,,
116740,Front Desk Officer - NYSC,,
116739,Sales and Customer Success Manager,,
116724,Finance Assistant,,
116720,Personal Assistant,,
116719,tech Sales Associate,,
116718,Data Centre Lead,,
116717,Executive Assistant,,
116711,Dental Assistant / Nurse,,
116688,Seasonal Malaria Chemoprevention (SMC) Finance Specialist,,
116686,Human Resource Officer,,
116670,Quality Control / Assurance Manager,,
116561,Splicing Technician,,
116499,Medical Officer (Doctor),,
116498,Facility Supervisor,,
116497,Ophtalmic technician,,
116492,Preschool teacher,,
116491,Ophthalmic technician,,
116490,Driver,,
116486,Director of Communication,,
116484,Marketing Officer,,
116483,Waitress,,
116482,Receptionist,,
116481,Supermarket Supervisor,,
116479,Medical Laboratory technician,,
116477,Lower and Upper Primary teacher,,
116471,Quality Control / Assurance Manager,,
116470,Deputy Program Director,,
116469,Waiter,,
116458,ICt teacher,,
116412,Dealer Acquisition Associate,,
116403,Student Industrial Work Experience Scheme (SIWES) Intern,,
116401,Finance Intern,,
116397,Waiter / Waitress,,
116391,Physiotherapist,,
116389,English and Literature in English Teacher,,
116388,QA / QC Manager,,
116387,Counterfeit Enforcement Manager,,
116374,Warehouse Officer,,
116372,Head of Strategy - Programme Effectiveness & Learning,,
116371,Direct Sales Marketer,,
116370,Executive Assistant,,
116369,Aquarium Manager,,
116368,"Female Key Account Manager, VPN & Colocation Products (Enterprise)",,
116367,Procurement Officer,,
116366,Internal Audit Officer,,
116365,Wealth Manager,,
116360,Digital Marketer,,
116327,Field Office Coordinator,,
116326,Requisition and Contract Management Engineer,,
116325,Receptionist,,
116320,Information technology Intern,,
116312,Secondary School teacher,,
116309,Commis Chef,,
116308,Experienced Personal Assistant,,
116304,Experienced Van Sales Representative (Male),,
116303,Pastry Chef,,
116300,Baker,,
116298,Document Control Officer,,
116294,Program Coordinator- British Red Cross,,
116276,Business Development Executive,,
116271,Basic Technology/Technical Drawing Teacher,,
116265,General Dentis,,
116255,Captain,,
116253,Sports Analyst at Betensured,,
116252,Accountant,,
116251,Data Analyst - NYSC Corp Members,,
116247,Company Driver,,
116244,Field Office Coordinator - Mubi,,
116242,Talent Acquisition Specialist,,
116241,English Language Teacher,,
